level,date,name,keywords,popularity,link,url
小學,2025年1月6日,WRO香港機械人「冬季」挑戰賽 2025,機械人、AI人工智能、資訊科技、可持續發展,4/5,點擊進入,https://10botics.co/stem-competition-2
小學,2025年1月10日,人工智能及創新科技比賽 2024-2025,AI人工智能、資訊科技、可持續發展,3/5,點擊進入,https://10botics.co/stem-competition-13
小學,2025年1月19日,香港青少年科技創新大賽,STEAM,4/5,點擊進入,https://10botics.co/stem-competition-3
小學,2025年1月27日,傑出華人虛擬薈設計比賽,虛擬實境（VR）、擴增實境（AR）、國民教育,2/5,點擊進入,https://10botics.co/stem-competition-14
小學,2025年1月27日,氫能車競賽大挑戰 2025,碳中和、低碳排放,3/5,點擊進入,https://10botics.co/stem-competition-15
小學,2025年1月31日,新世紀機械達人挑戰賽2025（太空篇）,大數據、人工智能、太空科技,3/5,點擊進入,https://10botics.co/stem-competition-16
小學,2025年2月7日,少年警訊創新科技大賽2024-25,社區安全、防騙滅罪、青年抗毒、人工智能、樂齡科技,3/5,點擊進入,https://10botics.co/stem-competition-5
小學,2025年2月8日,香港校際AI方程式 2025,編程、人工智能、Rasbperry Pi、Donkey Car,5/5,點擊進入,https://10botics.co/formula-ai-2025
小學,2025年2月10日,國際編程精英挑戰賽2024-25,編程,5/5,點擊進入,https://10botics.co/stem-competition-6
小學,2025年3月1日,STEM+E比賽2025,能源效益,3/5,點擊進入,https://10botics.co/stem-competition-18
小學,2025年3月15日,學界無人機救援挑戰賽,編程、無人機,5/5,點擊進入,https://10botics.co/competition-drone2024
小學,2025年3月19日,創意編程設計大賽,機械人、編程,4/5,點擊進入,https://10botics.co/stem-competition-9
小學,2025年5月,大灣區學界低空經濟個案挑戰賽,低空經濟應用、智慧城市,2/5,點擊進入,https://10botics.co/stem-competition-19
小學,2025年5月12日,第三屆校際AI藝術創作大賽《智畫神話》,Leonardo AI、AI人工智能、故事創作,5/5,點擊進入,https://10botics.co/ai-art-competition-2025
小學,2025年7月12日,亞太區STEM/AI科技創新挑戰賽 城市小英雄,機械人,3/5,點擊進入,https://10botics.co/stem-competition-12
中學,2025年1月,FIRST® LEGO® League,海洋研究、工程設計,5/5,點擊進入,https://10botics.co/stem-competition-1
中學,2025年1月6日,WRO香港機械人「冬季」挑戰賽 2025,機械人AI人工智能、資訊科技、可持續發展,4/5,點擊進入,https://10botics.co/stem-competition-2
中學,2025年1月19日,香港青少年科技創新大賽,STEAM,4/5,點擊進入,https://10botics.co/stem-competition-3
中學,2025年1月22日,2024-2025 海洋航行器設計及制作比賽,海事產業、3D模型,3/5,點擊進入,https://10botics.co/stem-competition-4
中學,2025年2月7日,少年警訊創新科技大賽2024-25,社區安全、防騙滅罪、青年抗毒、人工智能、樂齡科技,3/5,點擊進入,https://10botics.co/stem-competition-5
中學,2025年2月10日,賽馬會運算思維教育-全港小學生運算思維比賽2025,思維教育、編程,4/5,點擊進入,https://10botics.co/stem-competition-6
中學,2025年2月10日,國際編程精英挑戰賽2024-25,編程,5/5,點擊進入,https://10botics.co/stem-competition-7
中學,2025年3月15日,學界無人機救援挑戰賽,編程、無人機,5/5,點擊進入,https://10botics.co/competition-drone2024
中學,2025年3月19日,創意編程設計大賽,機械人、編程,4/5,點擊進入,https://10botics.co/stem-competition-9
中學,2025年3月30日,粵港澳大灣區人工智能科創比賽,人工智能、物聯網、城市環境,4/5,點擊進入,https://10botics.co/stem-competition-10
中學,2025年5月12日,第三屆校際AI藝術創作大賽《智畫神話》,Leonardo AI、AI人工智能、故事創作,5/5,點擊進入,https://10botics.co/ai-art-competition-2025
中學,2025年7月12日,亞太區STEM/AI科技創新挑戰賽 城市小英雄,機械人,3/5,點擊進入,https://10botics.co/stem-competition-12
